Project Name,Package Name,Architecture Smell,Cause of the Smell
pacman-system1,nl.tudelft.jpacman.board,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: nl.tudelft.jpacman.board; nl.tudelft.jpacman.sprite; nl.tudelft.jpacman
pacman-system1,nl.tudelft.jpacman.board,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: nl.tudelft.jpacman.board; nl.tudelft.jpacman.sprite; nl.tudelft.jpacman; nl.tudelft.jpacman.npc.ghost
pacman-system1,nl.tudelft.jpacman,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: nl.tudelft.jpacman; nl.tudelft.jpacman.level
pacman-system1,nl.tudelft.jpacman,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): nl.tudelft.jpacman.npc.ghost
pacman-system1,nl.tudelft.jpacman.level,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: nl.tudelft.jpacman.level; nl.tudelft.jpacman; nl.tudelft.jpacman.npc.ghost
pacman-system1,nl.tudelft.jpacman.level,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): nl.tudelft.jpacman
pacman-system1,nl.tudelft.jpacman.npc.ghost,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: nl.tudelft.jpacman.npc.ghost; nl.tudelft.jpacman.sprite; nl.tudelft.jpacman
pacman-system1,nl.tudelft.jpacman.npc.ghost,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: nl.tudelft.jpacman.level; nl.tudelft.jpacman.board.
pacman-system1,nl.tudelft.jpacman.sprite,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): nl.tudelft.jpacman
pacman-system1,nl.tudelft.jpacman.ui,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [Action]; [BoardPanel; PacManUI; PacManUiBuilder; ScorePanel; ScoreFormatter; ButtonPanel; PacKeyListener]. LCC (Lack of Component Cohesion) = 0.25
