Project Name,Package Name,Type Name,Method Name,LOC,CC,PC
pacman-system1,nl.tudelft.jpacman.board,Board,Board,5,1,1
pacman-system1,nl.tudelft.jpacman.board,Board,invariant,10,4,0
pacman-system1,nl.tudelft.jpacman.board,Board,getWidth,3,1,0
pacman-system1,nl.tudelft.jpacman.board,Board,getHeight,3,1,0
pacman-system1,nl.tudelft.jpacman.board,Board,squareAt,6,1,2
pacman-system1,nl.tudelft.jpacman.board,Board,withinBorders,3,1,2
pacman-system1,nl.tudelft.jpacman.board,BoardFactory,BoardFactory,3,1,1
pacman-system1,nl.tudelft.jpacman.board,BoardFactory,createBoard,18,4,1
pacman-system1,nl.tudelft.jpacman.board,BoardFactory,createGround,3,1,0
pacman-system1,nl.tudelft.jpacman.board,BoardFactory,createWall,3,1,0
pacman-system1,nl.tudelft.jpacman.board,BoardFactory,Wall,3,1,1
pacman-system1,nl.tudelft.jpacman.board,BoardFactory,isAccessibleTo,3,1,1
pacman-system1,nl.tudelft.jpacman.board,BoardFactory,getSprite,3,1,0
pacman-system1,nl.tudelft.jpacman.board,BoardFactory,Ground,3,1,1
pacman-system1,nl.tudelft.jpacman.board,BoardFactory,isAccessibleTo,3,1,1
pacman-system1,nl.tudelft.jpacman.board,BoardFactory,getSprite,3,1,0
pacman-system1,nl.tudelft.jpacman.board,Wall,Wall,3,1,1
pacman-system1,nl.tudelft.jpacman.board,Wall,isAccessibleTo,3,1,1
pacman-system1,nl.tudelft.jpacman.board,Wall,getSprite,3,1,0
pacman-system1,nl.tudelft.jpacman.board,Ground,Ground,3,1,1
pacman-system1,nl.tudelft.jpacman.board,Ground,isAccessibleTo,3,1,1
pacman-system1,nl.tudelft.jpacman.board,Ground,getSprite,3,1,0
pacman-system1,nl.tudelft.jpacman.board,Square,Square,5,1,0
pacman-system1,nl.tudelft.jpacman.board,Square,getSquareAt,3,1,1
pacman-system1,nl.tudelft.jpacman.board,Square,link,4,1,2
pacman-system1,nl.tudelft.jpacman.board,Square,getOccupants,3,1,0
pacman-system1,nl.tudelft.jpacman.board,Square,put,5,1,1
pacman-system1,nl.tudelft.jpacman.board,Square,remove,4,1,1
pacman-system1,nl.tudelft.jpacman.board,Square,invariant,8,3,0
pacman-system1,nl.tudelft.jpacman.board,Square,isAccessibleTo,0,1,1
pacman-system1,nl.tudelft.jpacman.board,Square,getSprite,0,1,0
pacman-system1,nl.tudelft.jpacman.board,Unit,Unit,3,1,0
pacman-system1,nl.tudelft.jpacman.board,Unit,setDirection,3,1,1
pacman-system1,nl.tudelft.jpacman.board,Unit,getDirection,3,1,0
pacman-system1,nl.tudelft.jpacman.board,Unit,getSquare,5,1,0
pacman-system1,nl.tudelft.jpacman.board,Unit,hasSquare,3,1,0
pacman-system1,nl.tudelft.jpacman.board,Unit,occupy,9,2,1
