Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
pacman-system1,nl.tudelft.jpacman,Launcher,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: SPRITE_STORE; DEFAULT_MAP; REVISITED_MAP; levelMap; pacManUI; game; playerController
pacman-system1,nl.tudelft.jpacman,PacmanConfigurationException,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
pacman-system1,nl.tudelft.jpacman,LauncherSmokeTest,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: launcher; STEP1_SCORE; STEP2_SCORE; STEP3_SCORE; STEP4_SCORE; STEP5_SCORE; STEP1_MOVE_NUM; STEP2_MOVE_NUM; STEP3_MOVE_NUM; STEP4_MOVE_NUM; STEP5_MOVE_NUM; STEP6_MOVE_NUM; KILLING_MOVE_NUM; PLAYER_INDEX; THREAD_SLEEP_TIME; STEP1_SCORE2; STEP1_MOVES2; STEP2_MOVES2; t; p
pacman-system1,nl.tudelft.jpacman,Pair,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
pacman-system1,nl.tudelft.jpacman,Pair,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: t; p
pacman-system1,nl.tudelft.jpacman.board,Board,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: BoardFactory; Board
pacman-system1,nl.tudelft.jpacman.board,BasicUnit,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
pacman-system1,nl.tudelft.jpacman.board,DfltPlayer,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
pacman-system1,nl.tudelft.jpacman.board,DumbSpecialPellet,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
pacman-system1,nl.tudelft.jpacman.board,DfltPlayer,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
pacman-system1,nl.tudelft.jpacman.game,Game,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
pacman-system1,nl.tudelft.jpacman.game,GameFactory,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
pacman-system1,nl.tudelft.jpacman.level,CollisionInteractionMap,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
pacman-system1,nl.tudelft.jpacman.level,DefaultPlayerInteractionMap,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
pacman-system1,nl.tudelft.jpacman.level,FruitPellet,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: spritePath
pacman-system1,nl.tudelft.jpacman.level,Level,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
