Project Name,Package Name,Type Name,Method Name,LOC,CC,PC
pacman-system1,nl.tudelft.jpacman,Launcher,getPlayerController,3,1,0
pacman-system1,nl.tudelft.jpacman,Launcher,getGame,3,1,0
pacman-system1,nl.tudelft.jpacman,Launcher,getLevelMap,3,1,0
pacman-system1,nl.tudelft.jpacman,Launcher,withMapFile,4,1,1
pacman-system1,nl.tudelft.jpacman,Launcher,makeGame,6,1,0
pacman-system1,nl.tudelft.jpacman,Launcher,makeLevel,8,1,0
pacman-system1,nl.tudelft.jpacman,Launcher,getMapParser,3,1,0
pacman-system1,nl.tudelft.jpacman,Launcher,getBoardFactory,3,1,0
pacman-system1,nl.tudelft.jpacman,Launcher,getSpriteStore,3,1,0
pacman-system1,nl.tudelft.jpacman,Launcher,getLevelFactory,3,1,0
pacman-system1,nl.tudelft.jpacman,Launcher,getGhostFactory,3,1,0
pacman-system1,nl.tudelft.jpacman,Launcher,getGameFactory,3,1,0
pacman-system1,nl.tudelft.jpacman,Launcher,getPlayerFactory,3,1,0
pacman-system1,nl.tudelft.jpacman,Launcher,addSinglePlayerKeys,3,1,1
pacman-system1,nl.tudelft.jpacman,Launcher,moveTowardsDirection,7,1,1
pacman-system1,nl.tudelft.jpacman,Launcher,getSinglePlayer,7,2,1
pacman-system1,nl.tudelft.jpacman,Launcher,addSinglePlayerKeysContiniousMovements,3,1,1
pacman-system1,nl.tudelft.jpacman,Launcher,moveUntilDirectionChange,6,1,1
pacman-system1,nl.tudelft.jpacman,Launcher,launch,8,1,0
pacman-system1,nl.tudelft.jpacman,Launcher,launchS,10,1,0
pacman-system1,nl.tudelft.jpacman,Launcher,dispose,4,1,0
pacman-system1,nl.tudelft.jpacman,Launcher,main,3,1,1
pacman-system1,nl.tudelft.jpacman,PacmanConfigurationException,PacmanConfigurationException,3,1,1
pacman-system1,nl.tudelft.jpacman,PacmanConfigurationException,PacmanConfigurationException,3,1,2
pacman-system1,nl.tudelft.jpacman,LauncherSmokeTest,setUpPacman,4,1,0
pacman-system1,nl.tudelft.jpacman,LauncherSmokeTest,tearDown,3,1,0
pacman-system1,nl.tudelft.jpacman,LauncherSmokeTest,smokeTest,25,1,0
pacman-system1,nl.tudelft.jpacman,LauncherSmokeTest,smokeTest2,17,1,0
pacman-system1,nl.tudelft.jpacman,LauncherSmokeTest,move,6,2,3
pacman-system1,nl.tudelft.jpacman,LauncherSmokeTest,move,5,2,2
pacman-system1,nl.tudelft.jpacman,LauncherSmokeTest,Pair,4,1,2
pacman-system1,nl.tudelft.jpacman,Pair,Pair,4,1,2
pacman-system1,nl.tudelft.jpacman.board,Board,Board,5,1,1
pacman-system1,nl.tudelft.jpacman.board,Board,invariant,10,4,0
pacman-system1,nl.tudelft.jpacman.board,Board,getWidth,3,1,0
pacman-system1,nl.tudelft.jpacman.board,Board,getHeight,3,1,0
pacman-system1,nl.tudelft.jpacman.board,Board,squareAt,6,1,2
pacman-system1,nl.tudelft.jpacman.board,Board,withinBorders,3,1,2
pacman-system1,nl.tudelft.jpacman.board,Board,checkGrid,14,5,0
pacman-system1,nl.tudelft.jpacman.board,Board,explore,11,2,2
pacman-system1,nl.tudelft.jpacman.board,Board,nextSquares,11,3,3
pacman-system1,nl.tudelft.jpacman.board,Board,getFirstAccessibleSquare,10,4,1
pacman-system1,nl.tudelft.jpacman.board,Board,getFreeOccupantSquares,3,1,0
pacman-system1,nl.tudelft.jpacman.board,Board,getSquaresByOccupantsNbr,10,4,1
pacman-system1,nl.tudelft.jpacman.board,BoardFactory,BoardFactory,3,1,1
pacman-system1,nl.tudelft.jpacman.board,BoardFactory,createBoard,18,4,1
pacman-system1,nl.tudelft.jpacman.board,BoardFactory,createGround,3,1,0
pacman-system1,nl.tudelft.jpacman.board,BoardFactory,createWall,3,1,0
pacman-system1,nl.tudelft.jpacman.board,BoardFactory,Wall,3,1,1
pacman-system1,nl.tudelft.jpacman.board,BoardFactory,isAccessibleTo,3,1,1
pacman-system1,nl.tudelft.jpacman.board,BoardFactory,getSprite,3,1,0
pacman-system1,nl.tudelft.jpacman.board,BoardFactory,Ground,3,1,1
pacman-system1,nl.tudelft.jpacman.board,BoardFactory,isAccessibleTo,3,1,1
pacman-system1,nl.tudelft.jpacman.board,BoardFactory,getSprite,3,1,0
pacman-system1,nl.tudelft.jpacman.board,Wall,Wall,3,1,1
pacman-system1,nl.tudelft.jpacman.board,Wall,isAccessibleTo,3,1,1
pacman-system1,nl.tudelft.jpacman.board,Wall,getSprite,3,1,0
pacman-system1,nl.tudelft.jpacman.board,Ground,Ground,3,1,1
pacman-system1,nl.tudelft.jpacman.board,Ground,isAccessibleTo,3,1,1
pacman-system1,nl.tudelft.jpacman.board,Ground,getSprite,3,1,0
