Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path
pacman-system1,nl.tudelft.jpacman,Launcher,7,2,22,9,177,23,0,0,0.6818181818181818,1,0,/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/scripts/../systems/pacman-system1/src/main/java/nl/tudelft/jpacman/Launcher.java
pacman-system1,nl.tudelft.jpacman,PacmanConfigurationException,0,0,2,2,21,2,0,0,-1.0,0,0,/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/scripts/../systems/pacman-system1/src/main/java/nl/tudelft/jpacman/PacmanConfigurationException.java
pacman-system1,nl.tudelft.jpacman,LauncherSmokeTest,20,2,7,3,121,9,0,0,0.2857142857142857,0,0,/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/scripts/../systems/pacman-system1/src/test/java/nl/tudelft/jpacman/LauncherSmokeTest.java
pacman-system1,nl.tudelft.jpacman,Pair,2,2,1,1,8,1,0,0,0.0,0,0,/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/scripts/../systems/pacman-system1/src/test/java/nl/tudelft/jpacman/LauncherSmokeTest.java
pacman-system1,nl.tudelft.jpacman.board,Board,1,0,12,7,148,28,0,0,0.5,1,1,/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/scripts/../systems/pacman-system1/src/main/java/nl/tudelft/jpacman/board/Board.java
pacman-system1,nl.tudelft.jpacman.board,BoardFactory,3,0,10,8,100,13,0,0,0.5,2,3,/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/scripts/../systems/pacman-system1/src/main/java/nl/tudelft/jpacman/board/BoardFactory.java
pacman-system1,nl.tudelft.jpacman.board,Wall,1,0,3,2,23,3,0,1,0.6666666666666666,1,0,/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/scripts/../systems/pacman-system1/src/main/java/nl/tudelft/jpacman/board/BoardFactory.java
pacman-system1,nl.tudelft.jpacman.board,Ground,1,0,3,2,23,3,0,1,0.6666666666666666,1,0,/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/scripts/../systems/pacman-system1/src/main/java/nl/tudelft/jpacman/board/BoardFactory.java
pacman-system1,nl.tudelft.jpacman.board,Square,2,0,13,9,134,24,3,0,0.23076923076923078,0,2,/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/scripts/../systems/pacman-system1/src/main/java/nl/tudelft/jpacman/board/Square.java
pacman-system1,nl.tudelft.jpacman.board,Unit,5,0,16,14,159,20,4,0,0.3125,6,0,/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/scripts/../systems/pacman-system1/src/main/java/nl/tudelft/jpacman/board/Unit.java
