Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
pacman-system2,controller,MainController,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: uncaughtExceptionHandler; instance; game; gui; gameActive
pacman-system2,controller,MainController,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: MainGui; MainController; Game; Settings; GhostContainer; Ghost; Position; MapObjectContainer; MapObject; Map; PositionContainer; StartingPosition; PacmanContainer; Pacman; StaticTarget; Wall; Placeholder; CoinContainer; Coin; DynamicTarget; PointContainer; Point; Level; Renderer; KeyboardProcesser
pacman-system2,model,Coin,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: PACMAN_AINT_EATER; SECONDS_PER_COIN; activeSeconds
pacman-system2,model,Coin,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: MainGui; MainController; Game; Settings; GhostContainer; Ghost; Position; MapObjectContainer; MapObject; Map; PositionContainer; StartingPosition; PacmanContainer; Pacman; StaticTarget; Wall; Placeholder; CoinContainer; Coin; DynamicTarget; PointContainer; Point; Level; Renderer; KeyboardProcesser
pacman-system2,model,CoinContainer,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: coins; max
pacman-system2,model,DynamicTarget,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): Target
pacman-system2,model,Game,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: BASIC_REFRESH_RATE; settings; instance; initialized; ghostContainer; coinContainer; pointContainer; pacmanContainer; eventHandlerManager; map; refreshRate; level; isOver; playerLifes
pacman-system2,model,Game,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 21 public methods
pacman-system2,model,GhostContainer,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: ghosts; max
pacman-system2,model,Highscore,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: Score; Highscore
