Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell
pacman-system2,model,Coin,changeState,Complex Method,Cyclomatic complexity of the method is 9
pacman-system2,model,Coin,getScore,Magic Number,The method contains a magic number: 50
pacman-system2,model,DynamicTarget,equals,Long Statement,The length of the statement "return this.getHeadingTo().equals(((DynamicTarget)o).getHeadingTo()) && this.getState().equals(((DynamicTarget)o).getState()) && this.getPosition().equals(((DynamicTarget)o).getPosition());" is 189.
pacman-system2,model,Game,changeRefreshRate,Magic Number,The method contains a magic number: 5
pacman-system2,model,Game,changeRefreshRate,Magic Number,The method contains a magic number: 7
pacman-system2,model,Ghost,Ghost,Missing default,The following switch statement is missing a default case: switch (colour) {
pacman-system2,model,Ghost,changeState,Magic Number,The method contains a magic number: 0.5
pacman-system2,model,Ghost,changeState,Magic Number,The method contains a magic number: 4.
pacman-system2,model,Ghost,changeState,Magic Number,The method contains a magic number: 4.
pacman-system2,model,Ghost,changeState,Magic Number,The method contains a magic number: 2
pacman-system2,model,Ghost,getScore,Magic Number,The method contains a magic number: 200
pacman-system2,model,Ghost,equals,Long Statement,The length of the statement "return this.getWaitingSeconds() == g.getWaitingSeconds() && this.getPosition().equals(g.getPosition()) && this.getState().equals(g.getState()) && this.getMovedInLastTurn() == (g.getMovedInLastTurn()) && this.getColour().equals(g.getColour()) && this.getName().equals(g.getName()) && this.getHeadingTo().equals(g.getHeadingTo());" is 328.
pacman-system2,model,Helper,quickSort,Magic Number,The method contains a magic number: 2
pacman-system2,model,Highscore,Highscore,Magic Number,The method contains a magic number: 3
pacman-system2,model,Level,nextLevel,Magic Number,The method contains a magic number: 0.85
pacman-system2,model,Level,nextLevel,Magic Number,The method contains a magic number: 0.7
pacman-system2,model,Map,Map,Magic Number,The method contains a magic number: 20
pacman-system2,model,Map,Map,Magic Number,The method contains a magic number: 10
pacman-system2,model,Map,equals,Long Statement,The length of the statement "return this.getPositionContainer().equals(((Map)o).getPositionContainer()) && this.objectsPlaced == ((Map)o).isObjectsPlaced();" is 127.
pacman-system2,model,Map,placeDynamicObjects,Magic Number,The method contains a magic number: 8
pacman-system2,model,Map,placeDynamicObjects,Magic Number,The method contains a magic number: 3
pacman-system2,model,Map,placeDynamicObjects,Magic Number,The method contains a magic number: 9
pacman-system2,model,Map,placeDynamicObjects,Magic Number,The method contains a magic number: 3
pacman-system2,model,Map,placeDynamicObjects,Magic Number,The method contains a magic number: 10
pacman-system2,model,Map,placeDynamicObjects,Magic Number,The method contains a magic number: 3
pacman-system2,model,Map,placeDynamicObjects,Magic Number,The method contains a magic number: 11
pacman-system2,model,Map,placeDynamicObjects,Magic Number,The method contains a magic number: 3
pacman-system2,model,Map,placeStaticObjects,Magic Number,The method contains a magic number: 19
pacman-system2,model,Map,placeStaticObjects,Magic Number,The method contains a magic number: 9
pacman-system2,model,Map,placeStaticObjects,Magic Number,The method contains a magic number: 9
pacman-system2,model,Map,placeStaticObjects,Magic Number,The method contains a magic number: 19
pacman-system2,model,Map,placeStaticObjects,Magic Number,The method contains a magic number: 9
pacman-system2,model,Map,placeStaticObjects,Magic Number,The method contains a magic number: 19
pacman-system2,model,Map,placeStaticObjects,Magic Number,The method contains a magic number: 19
pacman-system2,model,Map,placeStaticObjects,Magic Number,The method contains a magic number: 8
pacman-system2,model,Map,placeStaticObjects,Magic Number,The method contains a magic number: 2
pacman-system2,model,Map,placeStaticObjects,Magic Number,The method contains a magic number: 2
pacman-system2,model,Map,placeStaticObjects,Magic Number,The method contains a magic number: 2
pacman-system2,model,Map,placeStaticObjects,Magic Number,The method contains a magic number: 5
pacman-system2,model,Map,placeStaticObjects,Magic Number,The method contains a magic number: 3
pacman-system2,model,Map,placeStaticObjects,Magic Number,The method contains a magic number: 2
pacman-system2,model,Map,placeStaticObjects,Magic Number,The method contains a magic number: 5
pacman-system2,model,Map,placeStaticObjects,Magic Number,The method contains a magic number: 2
pacman-system2,model,Map,placeStaticObjects,Magic Number,The method contains a magic number: 5
pacman-system2,model,Map,placeStaticObjects,Magic Number,The method contains a magic number: 3
pacman-system2,model,Map,placeStaticObjects,Magic Number,The method contains a magic number: 5
pacman-system2,model,Map,placeStaticObjects,Magic Number,The method contains a magic number: 5
pacman-system2,model,Map,placeStaticObjects,Magic Number,The method contains a magic number: 3
pacman-system2,model,Map,placeStaticObjects,Magic Number,The method contains a magic number: 5
pacman-system2,model,Map,placeStaticObjects,Magic Number,The method contains a magic number: 4
pacman-system2,model,Map,placeStaticObjects,Magic Number,The method contains a magic number: 5
pacman-system2,model,Map,placeStaticObjects,Magic Number,The method contains a magic number: 2
pacman-system2,model,Map,placeStaticObjects,Magic Number,The method contains a magic number: 7
pacman-system2,model,Map,placeStaticObjects,Magic Number,The method contains a magic number: 5
pacman-system2,model,Map,placeStaticObjects,Magic Number,The method contains a magic number: 7
pacman-system2,model,Map,placeStaticObjects,Magic Number,The method contains a magic number: 14
pacman-system2,model,Map,placeStaticObjects,Magic Number,The method contains a magic number: 2
pacman-system2,model,Map,placeStaticObjects,Magic Number,The method contains a magic number: 14
pacman-system2,model,Map,placeStaticObjects,Magic Number,The method contains a magic number: 5
pacman-system2,model,Map,placeStaticObjects,Magic Number,The method contains a magic number: 15
pacman-system2,model,Map,placeStaticObjects,Magic Number,The method contains a magic number: 2
pacman-system2,model,Map,placeStaticObjects,Magic Number,The method contains a magic number: 17
pacman-system2,model,Map,placeStaticObjects,Magic Number,The method contains a magic number: 2
pacman-system2,model,Map,placeStaticObjects,Magic Number,The method contains a magic number: 17
pacman-system2,model,Map,placeStaticObjects,Magic Number,The method contains a magic number: 3
