Project Name,Package Name,Type Name,Method Name,LOC,CC,PC
pacman-system2,controller,MainController,main,8,1,1
pacman-system2,controller,MainController,run,3,1,0
pacman-system2,controller,MainController,reset,3,1,0
pacman-system2,controller,MainController,reset,6,2,1
pacman-system2,controller,MainController,getGui,3,1,0
pacman-system2,controller,MainController,getInstance,3,1,0
pacman-system2,controller,MainController,MainController,2,1,0
pacman-system2,controller,MainController,prepare,5,1,0
pacman-system2,controller,MainController,startGame,5,1,0
pacman-system2,controller,MainController,pauseGame,5,1,0
pacman-system2,controller,MainController,isGameActive,3,1,0
pacman-system2,controller,MainControllerTest,beforeTest,3,1,0
pacman-system2,controller,MainControllerTest,testMain,3,1,0
pacman-system2,controller,MainControllerTest,testGetGui,3,1,0
pacman-system2,controller,MainControllerTest,testGetInstance,3,1,0
pacman-system2,controller,MainControllerTest,testStartAndPause,4,1,0
pacman-system2,model,Coin,resetActiveSeconds,3,1,0
pacman-system2,model,Coin,getActiveSeconds,3,1,0
pacman-system2,model,Coin,reduceActiveSeconds,7,2,1
pacman-system2,model,Coin,Coin,4,1,1
pacman-system2,model,Coin,changeState,29,9,1
pacman-system2,model,Coin,getScore,3,1,0
pacman-system2,model,Coin,equals,9,3,1
pacman-system2,model,Coin,gotEaten,3,1,0
pacman-system2,model,Coin,toString,3,1,0
pacman-system2,model,CoinContainer,CoinContainer,3,1,0
pacman-system2,model,CoinContainer,add,13,3,1
pacman-system2,model,CoinContainer,add,5,2,1
pacman-system2,model,CoinContainer,get,3,1,1
pacman-system2,model,CoinContainer,get,8,3,1
pacman-system2,model,CoinContainer,getAll,3,1,0
pacman-system2,model,CoinContainer,remove,3,1,1
pacman-system2,model,CoinContainer,getMax,3,1,0
pacman-system2,model,CoinContainer,iterator,3,1,0
pacman-system2,model,CoinContainer,contains,3,1,1
pacman-system2,model,CoinContainer,equals,9,3,1
pacman-system2,model,CoinContainer,removeAll,6,2,0
pacman-system2,model,Container,get,0,1,1
pacman-system2,model,Container,add,0,1,1
pacman-system2,model,Container,add,0,1,1
pacman-system2,model,Container,getAll,0,1,0
pacman-system2,model,Container,remove,0,1,1
pacman-system2,model,Container,contains,0,1,1
pacman-system2,model,DynamicTarget,move,11,4,1
pacman-system2,model,DynamicTarget,eat,0,1,1
pacman-system2,model,DynamicTarget,getHeadingTo,3,1,0
pacman-system2,model,DynamicTarget,isHeadingTo,3,1,1
pacman-system2,model,DynamicTarget,setHeadingTo,3,1,1
pacman-system2,model,DynamicTarget,changeState,0,1,1
pacman-system2,model,DynamicTarget,getState,3,1,0
pacman-system2,model,DynamicTarget,equals,8,3,1
pacman-system2,model,Game,Game,2,1,0
pacman-system2,model,Game,reset,5,1,0
pacman-system2,model,Game,initializeInternal,14,1,0
pacman-system2,model,Game,isInitialized,3,1,0
pacman-system2,model,Game,getPlayerLifes,3,1,0
pacman-system2,model,Game,reducePLayerLifes,3,1,0
pacman-system2,model,Game,getLevel,3,1,0
pacman-system2,model,Game,getGhostContainer,3,1,0
pacman-system2,model,Game,getCoinContainer,3,1,0
pacman-system2,model,Game,getPointContainer,3,1,0
pacman-system2,model,Game,getPacmanContainer,3,1,0
pacman-system2,model,Game,getMap,3,1,0
pacman-system2,model,Game,changeRefreshRate,3,1,1
pacman-system2,model,Game,getRefreshRate,3,1,0
pacman-system2,model,Game,start,6,2,0
pacman-system2,model,Game,pause,3,1,0
pacman-system2,model,Game,equals,8,3,1
pacman-system2,model,Game,gameOver,6,1,0
pacman-system2,model,Game,getEventHandlerManager,3,1,0
pacman-system2,model,Game,getInstance,3,1,0
pacman-system2,model,Game,isGameOver,3,1,0
pacman-system2,model,Game,onPacmanGotEaten,3,1,0
pacman-system2,model,Game,increasePlayerLifes,3,1,0
pacman-system2,model,Ghost,Ghost,22,5,2
pacman-system2,model,Ghost,getColour,3,1,0
pacman-system2,model,Ghost,setColour,3,1,1
pacman-system2,model,Ghost,getName,3,1,0
pacman-system2,model,Ghost,setName,3,1,1
pacman-system2,model,Ghost,eat,5,2,1
pacman-system2,model,Ghost,changeState,16,4,1
pacman-system2,model,Ghost,getWaitingSeconds,3,1,0
pacman-system2,model,Ghost,getMovedInLastTurn,3,1,0
pacman-system2,model,Ghost,setMovedInLastTurn,3,1,1
pacman-system2,model,Ghost,getScore,3,1,0
pacman-system2,model,Ghost,gotEaten,3,1,0
pacman-system2,model,Ghost,reduceWaitingSeconds,11,3,1
pacman-system2,model,Ghost,equals,9,3,1
pacman-system2,model,Ghost,toString,3,1,0
pacman-system2,model,GhostContainer,GhostContainer,3,1,0
pacman-system2,model,GhostContainer,add,13,3,1
pacman-system2,model,GhostContainer,add,5,2,1
pacman-system2,model,GhostContainer,get,3,1,1
pacman-system2,model,GhostContainer,get,9,3,1
pacman-system2,model,GhostContainer,getAll,3,1,0
pacman-system2,model,GhostContainer,remove,3,1,1
pacman-system2,model,GhostContainer,getMax,3,1,0
pacman-system2,model,GhostContainer,iterator,3,1,0
pacman-system2,model,GhostContainer,equals,8,3,1
pacman-system2,model,GhostContainer,contains,3,1,1
pacman-system2,model,Helper,shuffle,12,3,1
pacman-system2,model,Helper,quickSort,5,1,2
pacman-system2,model,Helper,quickSort,27,7,4
pacman-system2,model,Highscore,Highscore,43,5,0
pacman-system2,model,Highscore,compare,3,1,2
pacman-system2,model,Highscore,add,3,1,1
pacman-system2,model,Highscore,getInstance,6,2,0
pacman-system2,model,Highscore,writeToFile,18,1,0
pacman-system2,model,Highscore,getScores,3,1,0
pacman-system2,model,Level,getInstance,6,2,0
pacman-system2,model,Level,nextLevel,16,4,0
pacman-system2,model,Level,getLevel,3,1,0
pacman-system2,model,Level,Level,2,1,0
pacman-system2,model,Level,getSecondsPerCoin,3,1,0
pacman-system2,model,Level,equals,8,3,1
pacman-system2,model,Level,reset,3,1,0
pacman-system2,model,Map,getInstance,6,2,0
pacman-system2,model,Map,reset,3,1,0
pacman-system2,model,Map,Map,3,1,0
pacman-system2,model,Map,Map,10,3,2
pacman-system2,model,Map,getPositionContainer,3,1,0
pacman-system2,model,Map,freeNeighbourFields,9,3,1
pacman-system2,model,Map,getPositionByDirectionIfMovableTo,29,7,2
pacman-system2,model,Map,equals,8,3,1
pacman-system2,model,Map,placeObjects,6,1,0
pacman-system2,model,Map,placeDynamicObjects,13,2,0
pacman-system2,model,Map,placeStaticObjects,40,3,0
pacman-system2,model,Map,spawnStaticTargets,20,3,0
pacman-system2,model,Map,onNextLevel,14,5,0
pacman-system2,model,Map,onPacmanGotEaten,3,1,0
pacman-system2,model,Map,replaceDynamicObjects,33,9,0
pacman-system2,model,Map,isObjectsPlaced,3,1,0
pacman-system2,model,Map,markAllForRendering,3,1,0
pacman-system2,model,Map,guessDirection,19,4,1
pacman-system2,model,MapObject,isOnPosition,3,1,1
pacman-system2,model,MapObject,getPosition,3,1,0
pacman-system2,model,MapObject,setPosition,12,3,1
pacman-system2,model,MapObject,isVisible,3,1,0
pacman-system2,model,MapObject,setVisible,3,1,1
pacman-system2,model,MapObject,equals,9,3,1
pacman-system2,model,MapObjectContainer,MapObjectContainer,3,1,0
pacman-system2,model,MapObjectContainer,get,3,1,1
pacman-system2,model,MapObjectContainer,getAll,3,1,0
pacman-system2,model,MapObjectContainer,remove,3,1,1
pacman-system2,model,MapObjectContainer,add,5,2,1
pacman-system2,model,MapObjectContainer,add,5,2,1
pacman-system2,model,MapObjectContainer,iterator,3,1,0
pacman-system2,model,MapObjectContainer,size,3,1,0
pacman-system2,model,MapObjectContainer,equals,8,3,1
pacman-system2,model,MapObjectContainer,contains,3,1,1
pacman-system2,model,Pacman,Pacman,19,4,2
pacman-system2,model,Pacman,gotEaten,3,1,0
pacman-system2,model,Pacman,getName,3,1,0
pacman-system2,model,Pacman,setName,3,1,1
pacman-system2,model,Pacman,getScore,3,1,0
pacman-system2,model,Pacman,eat,16,4,1
pacman-system2,model,Pacman,changeState,14,3,1
pacman-system2,model,Pacman,equals,8,3,1
pacman-system2,model,Pacman,getSex,3,1,0
pacman-system2,model,Pacman,toString,3,1,0
pacman-system2,model,PacmanContainer,PacmanContainer,3,1,0
pacman-system2,model,PacmanContainer,add,13,3,1
pacman-system2,model,PacmanContainer,add,5,2,1
pacman-system2,model,PacmanContainer,get,3,1,1
pacman-system2,model,PacmanContainer,get,9,3,1
pacman-system2,model,PacmanContainer,getAll,3,1,0
pacman-system2,model,PacmanContainer,remove,3,1,1
pacman-system2,model,PacmanContainer,iterator,3,1,0
pacman-system2,model,PacmanContainer,contains,3,1,1
pacman-system2,model,Placeholder,Placeholder,3,1,1
pacman-system2,model,Point,Point,4,1,1
pacman-system2,model,Point,changeState,15,5,1
pacman-system2,model,Point,getScore,3,1,0
pacman-system2,model,Point,gotEaten,3,1,0
pacman-system2,model,Point,toString,3,1,0
pacman-system2,model,PointContainer,PointContainer,4,1,0
pacman-system2,model,PointContainer,add,8,2,1
pacman-system2,model,PointContainer,add,5,2,1
pacman-system2,model,PointContainer,get,3,1,1
pacman-system2,model,PointContainer,get,8,3,1
pacman-system2,model,PointContainer,getAll,3,1,0
pacman-system2,model,PointContainer,remove,3,1,1
pacman-system2,model,PointContainer,iterator,3,1,0
pacman-system2,model,PointContainer,contains,3,1,1
pacman-system2,model,PointContainer,size,3,1,0
pacman-system2,model,PointContainer,removeAll,6,2,0
pacman-system2,model,Position,Position,5,1,2
pacman-system2,model,Position,getX,3,1,0
pacman-system2,model,Position,getY,3,1,0
pacman-system2,model,Position,getOnPosition,3,1,0
pacman-system2,model,Position,add,4,1,1
pacman-system2,model,Position,remove,3,1,1
pacman-system2,model,Position,isMoveableTo,8,3,0
pacman-system2,model,Position,calcDistance,6,2,1
pacman-system2,model,Position,equals,9,3,1
pacman-system2,model,Position,toString,3,1,0
pacman-system2,model,PositionContainer,PositionContainer,5,1,2
pacman-system2,model,PositionContainer,get,7,2,2
pacman-system2,model,PositionContainer,get,3,1,1
pacman-system2,model,PositionContainer,add,3,1,1
pacman-system2,model,PositionContainer,add,5,2,1
pacman-system2,model,PositionContainer,generateKey,3,1,2
pacman-system2,model,PositionContainer,generateKey,3,1,1
pacman-system2,model,PositionContainer,getAll,3,1,0
pacman-system2,model,PositionContainer,remove,3,1,1
pacman-system2,model,PositionContainer,iterator,3,1,0
pacman-system2,model,PositionContainer,contains,3,1,1
pacman-system2,model,PositionContainer,getRange,13,3,2
pacman-system2,model,PositionContainer,removeAll,3,1,0
pacman-system2,model,Scorable,getScore,0,1,0
pacman-system2,model,Score,Score,4,1,0
pacman-system2,model,Score,getScore,3,1,0
pacman-system2,model,Score,addToScore,8,2,1
pacman-system2,model,Score,addToScore,3,1,1
pacman-system2,model,Score,equals,8,3,1
pacman-system2,model,Score,compareTo,11,3,1
pacman-system2,model,Score,toString,3,1,0
pacman-system2,model,Settings,Settings,2,1,0
pacman-system2,model,Settings,getInstance,3,1,0
pacman-system2,model,Settings,setInstance,3,1,1
pacman-system2,model,Settings,getGameMode,3,1,0
pacman-system2,model,Settings,setGameMode,3,1,1
pacman-system2,model,StaticTarget,getState,3,1,0
pacman-system2,model,StaticTarget,changeState,0,1,1
pacman-system2,model,StaticTarget,setPosition,9,2,1
pacman-system2,model,StaticTarget,deSpawn,3,1,0
pacman-system2,model,Target,gotEaten,0,1,0
pacman-system2,model,Wall,Wall,3,1,1
pacman-system2,model,Wall,toString,3,1,0
pacman-system2,model,CoinContainerTest,setUp,6,1,0
pacman-system2,model,CoinContainerTest,tearDown,4,1,0
pacman-system2,model,CoinContainerTest,testAdd,4,1,0
pacman-system2,model,CoinContainerTest,testGetPerIndex,7,1,0
pacman-system2,model,CoinContainerTest,testGetPerPosition,5,1,0
pacman-system2,model,CoinContainerTest,testGetAll,11,2,0
pacman-system2,model,CoinContainerTest,testRemove,10,2,0
pacman-system2,model,CoinContainerTest,testGetMax,3,1,0
pacman-system2,model,CoinContainerTest,testIterator,3,1,0
pacman-system2,model,CoinContainerTest,testEquals,3,1,0
pacman-system2,model,CoinTest,setUp,5,1,0
pacman-system2,model,CoinTest,testGetState,3,1,0
pacman-system2,model,CoinTest,testChangeState,4,1,0
pacman-system2,model,CoinTest,testGetScore,3,1,0
pacman-system2,model,CoinTest,testEquals,6,1,0
pacman-system2,model,CoinTest,testConstructOnSamePosition,3,1,0
pacman-system2,model,GameTest,setUp,3,1,0
pacman-system2,model,GameTest,tearDown,3,1,0
pacman-system2,model,GameTest,testGetInstance,3,1,0
pacman-system2,model,GameTest,testReset,5,1,0
pacman-system2,model,GameTest,testIsInitialized,3,1,0
pacman-system2,model,GameTest,testGetGhostContainer,3,1,0
pacman-system2,model,GameTest,testGetCoinContainer,3,1,0
pacman-system2,model,GameTest,testGetPointContainer,3,1,0
pacman-system2,model,GameTest,testGetPacmanContainer,3,1,0
pacman-system2,model,GameTest,testGetMap,3,1,0
pacman-system2,model,GameTest,testGetRefreshRate,3,1,0
pacman-system2,model,GameTest,testGetEventHandlerManager,3,1,0
pacman-system2,model,GameTest,testStart,3,1,0
pacman-system2,model,GameTest,testPause,3,1,0
pacman-system2,model,GhostContainerTest,setUp,8,1,0
pacman-system2,model,GhostContainerTest,testAdd,3,1,0
pacman-system2,model,GhostContainerTest,testAddObjectAlreadyInList,4,1,0
pacman-system2,model,GhostContainerTest,testGetPerIndex,4,1,0
pacman-system2,model,GhostContainerTest,testGetPerPosition,9,2,0
pacman-system2,model,GhostContainerTest,testGetAll,9,1,0
pacman-system2,model,GhostContainerTest,testRemove,5,1,0
pacman-system2,model,GhostContainerTest,testGetMax,3,1,0
pacman-system2,model,GhostContainerTest,testIterator,11,2,0
pacman-system2,model,GhostContainerTest,testEquals,3,1,0
pacman-system2,model,GhostTest,setUp,5,1,0
pacman-system2,model,GhostTest,tearDown,3,1,0
pacman-system2,model,GhostTest,testGetColour,3,1,0
