Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell
pacman-system3,pacman_infd.Elements,Cherry,draw,Magic Number,The method contains a magic number: 15
pacman-system3,pacman_infd.Elements,Cherry,draw,Magic Number,The method contains a magic number: 15
pacman-system3,pacman_infd.Elements,Ghost,Ghost,Long Parameter List,The method has 7 parameters. 
pacman-system3,pacman_infd.Elements,Ghost,Ghost,Long Parameter List,The method has 6 parameters. 
pacman-system3,pacman_infd.Elements,Ghost,draw,Long Statement,The length of the statement "g.fillRoundRect((int)getPosition().getX() - 5`(int)getPosition().getY() - 5`getCell().getSize() + 10`getCell().getSize() + 10`10`5);" is 132.
pacman-system3,pacman_infd.Elements,Ghost,draw,Magic Number,The method contains a magic number: 5
pacman-system3,pacman_infd.Elements,Ghost,draw,Magic Number,The method contains a magic number: 5
pacman-system3,pacman_infd.Elements,Ghost,draw,Magic Number,The method contains a magic number: 10
pacman-system3,pacman_infd.Elements,Ghost,draw,Magic Number,The method contains a magic number: 10
pacman-system3,pacman_infd.Elements,Ghost,draw,Magic Number,The method contains a magic number: 10
pacman-system3,pacman_infd.Elements,Ghost,draw,Magic Number,The method contains a magic number: 5
pacman-system3,pacman_infd.Elements,Ghost,draw,Magic Number,The method contains a magic number: 12
pacman-system3,pacman_infd.Elements,Ghost,draw,Magic Number,The method contains a magic number: 12
pacman-system3,pacman_infd.Elements,Ghost,draw,Magic Number,The method contains a magic number: 20
pacman-system3,pacman_infd.Elements,Ghost,draw,Magic Number,The method contains a magic number: 12
pacman-system3,pacman_infd.Elements,Ghost,draw,Magic Number,The method contains a magic number: 12
pacman-system3,pacman_infd.Elements,Ghost,draw,Magic Number,The method contains a magic number: 4
pacman-system3,pacman_infd.Elements,Ghost,draw,Magic Number,The method contains a magic number: 2
pacman-system3,pacman_infd.Elements,Ghost,draw,Magic Number,The method contains a magic number: 6
pacman-system3,pacman_infd.Elements,Ghost,draw,Magic Number,The method contains a magic number: 6
pacman-system3,pacman_infd.Elements,Ghost,draw,Magic Number,The method contains a magic number: 24
pacman-system3,pacman_infd.Elements,Ghost,draw,Magic Number,The method contains a magic number: 2
pacman-system3,pacman_infd.Elements,Ghost,draw,Magic Number,The method contains a magic number: 6
pacman-system3,pacman_infd.Elements,Ghost,draw,Magic Number,The method contains a magic number: 6
pacman-system3,pacman_infd.Elements,Ghost,flee,Magic Number,The method contains a magic number: 1000
pacman-system3,pacman_infd.Elements,Ghost,flee,Magic Number,The method contains a magic number: 0.5f
pacman-system3,pacman_infd.Elements,Ghost,flee,Magic Number,The method contains a magic number: 1000
pacman-system3,pacman_infd.Elements,Ghost,dead,Magic Number,The method contains a magic number: 5f
pacman-system3,pacman_infd.Elements,MovingGameElement,MovingGameElement,Long Parameter List,The method has 5 parameters. 
pacman-system3,pacman_infd.Elements,MovingGameElement,getNextStepTime,Magic Number,The method contains a magic number: 1000
pacman-system3,pacman_infd.Elements,Pacman,Pacman,Long Parameter List,The method has 5 parameters. 
pacman-system3,pacman_infd.Elements,Pacman,setColorAlpha,Long Statement,The length of the statement "this.PACMAN_COLOR=new Color(PACMAN_COLOR.getRed() / 255f`PACMAN_COLOR.getGreen() / 255f`PACMAN_COLOR.getBlue() / 255f`alpha);" is 125.
pacman-system3,pacman_infd.Elements,Pacman,setColorAlpha,Magic Number,The method contains a magic number: 255f
pacman-system3,pacman_infd.Elements,Pacman,setColorAlpha,Magic Number,The method contains a magic number: 255f
pacman-system3,pacman_infd.Elements,Pacman,setColorAlpha,Magic Number,The method contains a magic number: 255f
pacman-system3,pacman_infd.Elements,Pacman,move,Complex Conditional,The conditional expression this.newDirection != null && cell.getNeighbor(this`newDirection) != null && !cell.getNeighbor(this`newDirection).hasWall() is complex.
pacman-system3,pacman_infd.Elements,Pacman,move,Long Statement,The length of the statement "if (this.newDirection != null && cell.getNeighbor(this`newDirection) != null && !cell.getNeighbor(this`newDirection).hasWall()) {" is 129.
pacman-system3,pacman_infd.Elements,Pacman,draw,Long Identifier,The length of the field CELL_SIZE_TO_PACMAN_SIZE_RATIO is 30.
pacman-system3,pacman_infd.Elements,Pacman,draw,Magic Number,The method contains a magic number: 2
pacman-system3,pacman_infd.Elements,Pacman,draw,Magic Number,The method contains a magic number: 2
pacman-system3,pacman_infd.Elements,Pacman,draw,Magic Number,The method contains a magic number: 4
pacman-system3,pacman_infd.Elements,Pacman,draw,Magic Number,The method contains a magic number: 4
pacman-system3,pacman_infd.Elements,Pacman,draw,Magic Number,The method contains a magic number: 360
pacman-system3,pacman_infd.Elements,Pacman,draw,Magic Number,The method contains a magic number: 360
pacman-system3,pacman_infd.Elements,Pacman,drawOval,Magic Number,The method contains a magic number: 2
pacman-system3,pacman_infd.Elements,Pacman,drawOval,Magic Number,The method contains a magic number: 2
pacman-system3,pacman_infd.Elements,Pacman,rotateAroundCenter,Long Statement,The length of the statement "double newX=center.getX() + (point.getX() - center.getX()) * Math.cos(angle) - (point.getY() - center.getY()) * Math.sin(angle);" is 128.
pacman-system3,pacman_infd.Elements,Pacman,rotateAroundCenter,Long Statement,The length of the statement "double newY=center.getY() + (point.getX() - center.getX()) * Math.sin(angle) + (point.getY() - center.getY()) * Math.cos(angle);" is 128.
pacman-system3,pacman_infd.Elements,Pacman,rotateAroundCenter,Magic Number,The method contains a magic number: 360
pacman-system3,pacman_infd.Elements,Pacman,getEndMouthArc,Magic Number,The method contains a magic number: 360
pacman-system3,pacman_infd.Elements,Pellet,draw,Long Statement,The length of the statement "g.fillOval((int)getPosition().getX() + getCell().getSize() / 2 - 3`(int)getPosition().getY() + getCell().getSize() / 2 - 3`6`6);" is 128.
pacman-system3,pacman_infd.Elements,Pellet,draw,Magic Number,The method contains a magic number: 2
pacman-system3,pacman_infd.Elements,Pellet,draw,Magic Number,The method contains a magic number: 3
pacman-system3,pacman_infd.Elements,Pellet,draw,Magic Number,The method contains a magic number: 2
pacman-system3,pacman_infd.Elements,Pellet,draw,Magic Number,The method contains a magic number: 3
pacman-system3,pacman_infd.Elements,Pellet,draw,Magic Number,The method contains a magic number: 6
pacman-system3,pacman_infd.Elements,Pellet,draw,Magic Number,The method contains a magic number: 6
pacman-system3,pacman_infd.Elements,Portal,draw,Magic Number,The method contains a magic number: 40
pacman-system3,pacman_infd.Elements,Portal,draw,Magic Number,The method contains a magic number: 12
pacman-system3,pacman_infd.Elements,Portal,draw,Magic Number,The method contains a magic number: 4
pacman-system3,pacman_infd.Elements,Portal,draw,Magic Number,The method contains a magic number: 50
pacman-system3,pacman_infd.Elements,Portal,draw,Magic Number,The method contains a magic number: 255
pacman-system3,pacman_infd.Elements,Portal,draw,Magic Number,The method contains a magic number: 2
pacman-system3,pacman_infd.Elements,Portal,draw,Magic Number,The method contains a magic number: 20
pacman-system3,pacman_infd.Elements,Portal,draw,Magic Number,The method contains a magic number: 2
pacman-system3,pacman_infd.Elements,Portal,draw,Magic Number,The method contains a magic number: 2
pacman-system3,pacman_infd.Elements,Portal,draw,Magic Number,The method contains a magic number: 20
pacman-system3,pacman_infd.Elements,Portal,draw,Magic Number,The method contains a magic number: 2
pacman-system3,pacman_infd.Elements,Portal,draw,Magic Number,The method contains a magic number: 40
pacman-system3,pacman_infd.Elements,Portal,draw,Magic Number,The method contains a magic number: 48
pacman-system3,pacman_infd.Elements,Portal,draw,Magic Number,The method contains a magic number: 255
pacman-system3,pacman_infd.Elements,Portal,draw,Magic Number,The method contains a magic number: 4
pacman-system3,pacman_infd.Elements,Portal,draw,Magic Number,The method contains a magic number: 50
pacman-system3,pacman_infd.Elements,Portal,draw,Magic Number,The method contains a magic number: 2
pacman-system3,pacman_infd.Elements,Portal,draw,Magic Number,The method contains a magic number: 20
pacman-system3,pacman_infd.Elements,Portal,draw,Magic Number,The method contains a magic number: 2
pacman-system3,pacman_infd.Elements,Portal,draw,Magic Number,The method contains a magic number: 2
pacman-system3,pacman_infd.Elements,Portal,draw,Magic Number,The method contains a magic number: 20
pacman-system3,pacman_infd.Elements,Portal,draw,Magic Number,The method contains a magic number: 2
pacman-system3,pacman_infd.Elements,Portal,draw,Magic Number,The method contains a magic number: 40
pacman-system3,pacman_infd.Elements,Portal,draw,Magic Number,The method contains a magic number: 48
pacman-system3,pacman_infd.Elements,SuperPellet,draw,Long Statement,The length of the statement "g.fillOval((int)getPosition().getX() + getCell().getSize() / 2 - 10`(int)getPosition().getY() + getCell().getSize() / 2 - 10`20`20);" is 132.
pacman-system3,pacman_infd.Elements,SuperPellet,draw,Magic Number,The method contains a magic number: 2
pacman-system3,pacman_infd.Elements,SuperPellet,draw,Magic Number,The method contains a magic number: 10
pacman-system3,pacman_infd.Elements,SuperPellet,draw,Magic Number,The method contains a magic number: 2
pacman-system3,pacman_infd.Elements,SuperPellet,draw,Magic Number,The method contains a magic number: 10
pacman-system3,pacman_infd.Elements,SuperPellet,draw,Magic Number,The method contains a magic number: 20
pacman-system3,pacman_infd.Elements,SuperPellet,draw,Magic Number,The method contains a magic number: 20
pacman-system3,pacman_infd.Elements,Wall,draw,Complex Method,Cyclomatic complexity of the method is 11
pacman-system3,pacman_infd.Elements,Wall,draw,Missing default,The following switch statement is missing a default case: switch (type) {
pacman-system3,pacman_infd.Elements,Wall,drawLeftUpCorner,Magic Number,The method contains a magic number: 9
pacman-system3,pacman_infd.Elements,Wall,drawLeftUpCorner,Magic Number,The method contains a magic number: 9
pacman-system3,pacman_infd.Elements,Wall,drawLeftUpCorner,Magic Number,The method contains a magic number: 32
pacman-system3,pacman_infd.Elements,Wall,drawLeftUpCorner,Magic Number,The method contains a magic number: 32
pacman-system3,pacman_infd.Elements,Wall,drawLeftUpCorner,Magic Number,The method contains a magic number: 90
pacman-system3,pacman_infd.Elements,Wall,drawLeftUpCorner,Magic Number,The method contains a magic number: 90
pacman-system3,pacman_infd.Elements,Wall,drawLeftUpCorner,Magic Number,The method contains a magic number: 15
pacman-system3,pacman_infd.Elements,Wall,drawLeftUpCorner,Magic Number,The method contains a magic number: 15
pacman-system3,pacman_infd.Elements,Wall,drawLeftUpCorner,Magic Number,The method contains a magic number: 20
pacman-system3,pacman_infd.Elements,Wall,drawLeftUpCorner,Magic Number,The method contains a magic number: 20
pacman-system3,pacman_infd.Elements,Wall,drawLeftUpCorner,Magic Number,The method contains a magic number: 90
pacman-system3,pacman_infd.Elements,Wall,drawLeftUpCorner,Magic Number,The method contains a magic number: 90
pacman-system3,pacman_infd.Elements,Wall,drawLeftUpCorner,Magic Number,The method contains a magic number: 8
pacman-system3,pacman_infd.Elements,Wall,drawLeftUpCorner,Magic Number,The method contains a magic number: 8
pacman-system3,pacman_infd.Elements,Wall,drawLeftUpCorner,Magic Number,The method contains a magic number: 32
pacman-system3,pacman_infd.Elements,Wall,drawLeftUpCorner,Magic Number,The method contains a magic number: 32
pacman-system3,pacman_infd.Elements,Wall,drawLeftUpCorner,Magic Number,The method contains a magic number: 90
pacman-system3,pacman_infd.Elements,Wall,drawLeftUpCorner,Magic Number,The method contains a magic number: 90
pacman-system3,pacman_infd.Elements,Wall,drawLeftUpCorner,Magic Number,The method contains a magic number: 16
pacman-system3,pacman_infd.Elements,Wall,drawLeftUpCorner,Magic Number,The method contains a magic number: 16
pacman-system3,pacman_infd.Elements,Wall,drawLeftUpCorner,Magic Number,The method contains a magic number: 20
pacman-system3,pacman_infd.Elements,Wall,drawLeftUpCorner,Magic Number,The method contains a magic number: 20
pacman-system3,pacman_infd.Elements,Wall,drawLeftUpCorner,Magic Number,The method contains a magic number: 90
pacman-system3,pacman_infd.Elements,Wall,drawLeftUpCorner,Magic Number,The method contains a magic number: 90
pacman-system3,pacman_infd.Elements,Wall,drawLeftDownCorner,Magic Number,The method contains a magic number: 9
pacman-system3,pacman_infd.Elements,Wall,drawLeftDownCorner,Magic Number,The method contains a magic number: 17
