Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path
pacman-system3,pacman_infd.Elements,AExtensionElement,3,0,4,4,36,6,3,1,0.5,3,1,D:\Documents\Cours\MA2\software evolubite\projet\G3-SoftwareEvolution\scripts\..\..\pacman-system3\src\main\java\pacman_infd\Elements\AExtensionElement.java
pacman-system3,pacman_infd.Elements,Cherry,1,0,4,4,24,5,0,1,1.0,2,0,D:\Documents\Cours\MA2\software evolubite\projet\G3-SoftwareEvolution\scripts\..\..\pacman-system3\src\main\java\pacman_infd\Elements\Cherry.java
pacman-system3,pacman_infd.Elements,Eatable,0,0,2,0,7,2,4,0,-1.0,0,0,D:\Documents\Cours\MA2\software evolubite\projet\G3-SoftwareEvolution\scripts\..\..\pacman-system3\src\main\java\pacman_infd\Elements\Eatable.java
pacman-system3,pacman_infd.Elements,GameElement,3,0,6,4,38,6,7,0,0.5,0,0,D:\Documents\Cours\MA2\software evolubite\projet\G3-SoftwareEvolution\scripts\..\..\pacman-system3\src\main\java\pacman_infd\Elements\GameElement.java
pacman-system3,pacman_infd.Elements,Ghost,9,0,17,12,164,28,0,2,0.11764705882352941,4,2,D:\Documents\Cours\MA2\software evolubite\projet\G3-SoftwareEvolution\scripts\..\..\pacman-system3\src\main\java\pacman_infd\Elements\Ghost.java
pacman-system3,pacman_infd.Elements,MovingGameElement,7,0,19,15,159,20,3,1,0.0,0,1,D:\Documents\Cours\MA2\software evolubite\projet\G3-SoftwareEvolution\scripts\..\..\pacman-system3\src\main\java\pacman_infd\Elements\MovingGameElement.java
pacman-system3,pacman_infd.Elements,TaskMovement,0,0,1,1,11,2,0,0,-1.0,1,0,D:\Documents\Cours\MA2\software evolubite\projet\G3-SoftwareEvolution\scripts\..\..\pacman-system3\src\main\java\pacman_infd\Elements\MovingGameElement.java
pacman-system3,pacman_infd.Elements,Pacman,13,2,17,12,160,24,0,2,0.4117647058823529,4,0,D:\Documents\Cours\MA2\software evolubite\projet\G3-SoftwareEvolution\scripts\..\..\pacman-system3\src\main\java\pacman_infd\Elements\Pacman.java
pacman-system3,pacman_infd.Elements,Pellet,1,0,4,4,23,5,0,1,1.0,1,0,D:\Documents\Cours\MA2\software evolubite\projet\G3-SoftwareEvolution\scripts\..\..\pacman-system3\src\main\java\pacman_infd\Elements\Pellet.java
pacman-system3,pacman_infd.Elements,Portal,2,0,7,7,63,16,0,1,0.2857142857142857,3,1,D:\Documents\Cours\MA2\software evolubite\projet\G3-SoftwareEvolution\scripts\..\..\pacman-system3\src\main\java\pacman_infd\Elements\Portal.java
pacman-system3,pacman_infd.Elements,SuperPellet,1,0,4,4,23,5,0,1,1.0,1,0,D:\Documents\Cours\MA2\software evolubite\projet\G3-SoftwareEvolution\scripts\..\..\pacman-system3\src\main\java\pacman_infd\Elements\SuperPellet.java
pacman-system3,pacman_infd.Elements,Wall,11,0,9,3,111,19,0,1,0.0,2,0,D:\Documents\Cours\MA2\software evolubite\projet\G3-SoftwareEvolution\scripts\..\..\pacman-system3\src\main\java\pacman_infd\Elements\Wall.java
pacman-system3,pacman_infd.Elements.ExtensionElements,ATimeBasedElement,1,0,7,4,48,7,6,2,0.0,0,1,D:\Documents\Cours\MA2\software evolubite\projet\G3-SoftwareEvolution\scripts\..\..\pacman-system3\src\main\java\pacman_infd\Elements\ExtensionElements\ATimeBasedElement.java
pacman-system3,pacman_infd.Elements.ExtensionElements,EndActionTask,0,0,1,1,8,1,0,0,-1.0,1,0,D:\Documents\Cours\MA2\software evolubite\projet\G3-SoftwareEvolution\scripts\..\..\pacman-system3\src\main\java\pacman_infd\Elements\ExtensionElements\ATimeBasedElement.java
