Project Name,Package Name,Architecture Smell,Cause of the Smell
pacman-system2,controller,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: controller; model.exception
pacman-system2,controller,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: controller; model.exception; model
pacman-system2,controller,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: controller; model.exception; model; model.event
pacman-system2,controller,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): model.exception; model; view
pacman-system2,model,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 36
pacman-system2,model,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: model; model.event
pacman-system2,model,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: model; model.event; controller
pacman-system2,model,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): model.event
pacman-system2,model.exception,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [BasicUncaughtExceptionHandler]; [ListException; ListFullException; ObjectAlreadyInListException]; [ObjectNotInitializedException; ObjectNotInitializedExceptionTest]; [ListFullExceptionTest]; [ObjectAlreadyInListExceptionTest]. LCC (Lack of Component Cohesion) = 0.63
pacman-system2,view,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: view; controller
