Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path
pacman-system2,controller,MainController,5,1,11,9,72,12,0,0,0.18181818181818182,17,4,/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/scripts/../../pacman-system2/src/main/java/controller/MainController.java
pacman-system2,controller,MainControllerTest,0,0,5,5,24,5,0,0,-1.0,0,1,/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/scripts/../../pacman-system2/src/test/java/controller/MainControllerTest.java
pacman-system2,model,Coin,3,2,9,9,83,20,0,3,0.5555555555555556,6,4,/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/scripts/../../pacman-system2/src/main/java/model/Coin.java
pacman-system2,model,CoinContainer,2,1,12,12,111,20,0,1,0.0,4,4,/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/scripts/../../pacman-system2/src/main/java/model/CoinContainer.java
pacman-system2,model,Container,0,0,6,6,44,6,6,0,-1.0,7,1,/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/scripts/../../pacman-system2/src/main/java/model/Container.java
pacman-system2,model,DynamicTarget,2,0,8,7,86,13,2,2,0.25,3,3,/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/scripts/../../pacman-system2/src/main/java/model/DynamicTarget.java
pacman-system2,model,Game,14,2,23,21,205,26,0,0,0.2608695652173913,14,11,/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/scripts/../../pacman-system2/src/main/java/model/Game.java
pacman-system2,model,Ghost,5,0,15,15,137,27,0,3,0.2,8,3,/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/scripts/../../pacman-system2/src/main/java/model/Ghost.java
pacman-system2,model,GhostContainer,2,1,11,11,113,18,0,1,0.0,3,3,/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/scripts/../../pacman-system2/src/main/java/model/GhostContainer.java
pacman-system2,model,Helper,0,0,3,2,50,11,0,0,-1.0,2,0,/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/scripts/../../pacman-system2/src/main/java/model/Helper.java
pacman-system2,model,Highscore,6,0,6,5,85,11,0,0,0.3333333333333333,2,3,/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/scripts/../../pacman-system2/src/main/java/model/Highscore.java
pacman-system2,model,Level,3,0,7,6,51,13,0,0,0.42857142857142855,3,4,/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/scripts/../../pacman-system2/src/main/java/model/Level.java
pacman-system2,model,Map,13,10,18,13,248,51,0,0,0.1111111111111111,10,19,/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/scripts/../../pacman-system2/src/main/java/model/Map.java
pacman-system2,model,StartingPosition,6,6,0,0,8,0,0,0,-1.0,1,1,/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/scripts/../../pacman-system2/src/main/java/model/Map.java
pacman-system2,model,MapObject,2,0,6,4,42,10,3,0,0.3333333333333333,4,3,/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/scripts/../../pacman-system2/src/main/java/model/MapObject.java
pacman-system2,model,MapObjectContainer,1,0,10,10,55,14,0,1,0.0,2,2,/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/scripts/../../pacman-system2/src/main/java/model/MapObjectContainer.java
pacman-system2,model,Pacman,3,0,10,10,90,20,0,3,0.2,7,7,/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/scripts/../../pacman-system2/src/main/java/model/Pacman.java
pacman-system2,model,PacmanContainer,2,1,9,9,65,14,0,1,0.0,4,3,/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/scripts/../../pacman-system2/src/main/java/model/PacmanContainer.java
pacman-system2,model,Placeholder,0,0,1,1,9,1,0,1,-1.0,1,1,/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/scripts/../../pacman-system2/src/main/java/model/Placeholder.java
pacman-system2,model,Point,0,0,5,5,35,9,0,3,-1.0,2,1,/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/scripts/../../pacman-system2/src/main/java/model/Point.java
