"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","controller","/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/systems/pacman-system2/src/main/java/controller/MainController.java","1","24","A class which only has private constructors should be final","Design","ClassWithOnlyPrivateConstructorsShouldBeFinal"
"1","model","/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/systems/pacman-system2/src/main/java/model/Coin.java","3","93","Ensure you override both equals() and hashCode()","Error Prone","OverrideBothEqualsAndHashcode"
"2","model","/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/systems/pacman-system2/src/main/java/model/Coin.java","4","97","Useless parentheses.","Code Style","UselessParentheses"
"1","model","/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/systems/pacman-system2/src/main/java/model/CoinContainer.java","4","16","Avoid duplicate imports such as 'java.util.Vector'","Code Style","DuplicateImports"
"2","model","/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/systems/pacman-system2/src/main/java/model/CoinContainer.java","3","30","Avoid using implementation types like 'Vector'; use the interface instead","Best Practices","LooseCoupling"
"3","model","/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/systems/pacman-system2/src/main/java/model/CoinContainer.java","3","32","This final field could be made static","Design","FinalFieldCouldBeStatic"
"4","model","/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/systems/pacman-system2/src/main/java/model/CoinContainer.java","3","103","Avoid using implementation types like 'Vector'; use the interface instead","Best Practices","LooseCoupling"
"5","model","/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/systems/pacman-system2/src/main/java/model/CoinContainer.java","3","140","Ensure you override both equals() and hashCode()","Error Prone","OverrideBothEqualsAndHashcode"
"1","model","/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/systems/pacman-system2/src/main/java/model/Container.java","3","30","Unnecessary modifier 'public' on method 'get': the method is declared in an interface type","Code Style","UnnecessaryModifier"
"2","model","/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/systems/pacman-system2/src/main/java/model/Container.java","3","41","Unnecessary modifier 'public' on method 'add': the method is declared in an interface type","Code Style","UnnecessaryModifier"
"3","model","/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/systems/pacman-system2/src/main/java/model/Container.java","3","48","Unnecessary modifier 'public' on method 'add': the method is declared in an interface type","Code Style","UnnecessaryModifier"
"4","model","/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/systems/pacman-system2/src/main/java/model/Container.java","3","56","Avoid using implementation types like 'Vector'; use the interface instead","Best Practices","LooseCoupling"
"5","model","/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/systems/pacman-system2/src/main/java/model/Container.java","3","56","Unnecessary modifier 'public' on method 'getAll': the method is declared in an interface type","Code Style","UnnecessaryModifier"
"6","model","/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/systems/pacman-system2/src/main/java/model/Container.java","3","63","Unnecessary modifier 'public' on method 'remove': the method is declared in an interface type","Code Style","UnnecessaryModifier"
"7","model","/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/systems/pacman-system2/src/main/java/model/Container.java","3","72","Unnecessary modifier 'public' on method 'contains': the method is declared in an interface type","Code Style","UnnecessaryModifier"
"1","model","/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/systems/pacman-system2/src/main/java/model/DynamicTarget.java","3","97","Ensure you override both equals() and hashCode()","Error Prone","OverrideBothEqualsAndHashcode"
"1","model","/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/systems/pacman-system2/src/main/java/model/Game.java","4","15","Avoid unused imports such as 'view.MainGui'","Best Practices","UnusedImports"
"2","model","/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/systems/pacman-system2/src/main/java/model/Game.java","1","24","A class which only has private constructors should be final","Design","ClassWithOnlyPrivateConstructorsShouldBeFinal"
"3","model","/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/systems/pacman-system2/src/main/java/model/Game.java","3","240","Ensure you override both equals() and hashCode()","Error Prone","OverrideBothEqualsAndHashcode"
"1","model","/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/systems/pacman-system2/src/main/java/model/Ghost.java","3","159","Ensure you override both equals() and hashCode()","Error Prone","OverrideBothEqualsAndHashcode"
"1","model","/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/systems/pacman-system2/src/main/java/model/GhostContainer.java","3","29","Avoid using implementation types like 'Vector'; use the interface instead","Best Practices","LooseCoupling"
"2","model","/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/systems/pacman-system2/src/main/java/model/GhostContainer.java","3","34","This final field could be made static","Design","FinalFieldCouldBeStatic"
"3","model","/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/systems/pacman-system2/src/main/java/model/GhostContainer.java","3","93","Avoid using implementation types like 'Vector'; use the interface instead","Best Practices","LooseCoupling"
"4","model","/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/systems/pacman-system2/src/main/java/model/GhostContainer.java","3","111","Avoid using implementation types like 'Vector'; use the interface instead","Best Practices","LooseCoupling"
"5","model","/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/systems/pacman-system2/src/main/java/model/GhostContainer.java","3","144","Ensure you override both equals() and hashCode()","Error Prone","OverrideBothEqualsAndHashcode"
"1","model","/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/systems/pacman-system2/src/main/java/model/Helper.java","3","20","All methods are static.  Consider using a utility class instead. Alternatively, you could add a private constructor or make the class abstract to silence this warning.","Design","UseUtilityClass"
"2","model","/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/systems/pacman-system2/src/main/java/model/Helper.java","3","35","Avoid using implementation types like 'ArrayList'; use the interface instead","Best Practices","LooseCoupling"
"3","model","/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/systems/pacman-system2/src/main/java/model/Helper.java","3","42","Avoid using implementation types like 'ArrayList'; use the interface instead","Best Practices","LooseCoupling"
"1","model","/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/systems/pacman-system2/src/main/java/model/Highscore.java","1","20","A class which only has private constructors should be final","Design","ClassWithOnlyPrivateConstructorsShouldBeFinal"
"2","model","/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/systems/pacman-system2/src/main/java/model/Highscore.java","3","29","Perhaps 'outputStream' could be replaced by a local variable.","Design","SingularField"
"3","model","/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/systems/pacman-system2/src/main/java/model/Highscore.java","3","31","Avoid using implementation types like 'ArrayList'; use the interface instead","Best Practices","LooseCoupling"
"4","model","/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/systems/pacman-system2/src/main/java/model/Highscore.java","3","80","Singleton is not thread safe","Multithreading","NonThreadSafeSingleton"
"5","model","/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/systems/pacman-system2/src/main/java/model/Highscore.java","3","103","Avoid using implementation types like 'ArrayList'; use the interface instead","Best Practices","LooseCoupling"
"1","model","/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/systems/pacman-system2/src/main/java/model/Level.java","1","16","A class which only has private constructors should be final","Design","ClassWithOnlyPrivateConstructorsShouldBeFinal"
"2","model","/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/systems/pacman-system2/src/main/java/model/Level.java","3","69","Ensure you override both equals() and hashCode()","Error Prone","OverrideBothEqualsAndHashcode"
"1","model","/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/systems/pacman-system2/src/main/java/model/Map.java","3","102","Ensure you override both equals() and hashCode()","Error Prone","OverrideBothEqualsAndHashcode"
"2","model","/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/systems/pacman-system2/src/main/java/model/Map.java","4","323","Useless parentheses.","Code Style","UselessParentheses"
"3","model","/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/systems/pacman-system2/src/main/java/model/Map.java","4","324","Useless parentheses.","Code Style","UselessParentheses"
"4","model","/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/systems/pacman-system2/src/main/java/model/Map.java","4","325","Useless parentheses.","Code Style","UselessParentheses"
