Javadoc coverage metrics,Mon, 13 Apr 2020 19:10:51 CEST
Method,JLOC
"controller.MainController.MainController()",0
"controller.MainController.getGui()",0
"controller.MainController.getInstance()",0
"controller.MainController.isGameActive()",0
"controller.MainController.main(String[])",5
"controller.MainController.pauseGame()",0
"controller.MainController.prepare()",0
"controller.MainController.reset()",0
"controller.MainController.reset(boolean)",0
"controller.MainController.startGame()",3
"controller.MainControllerTest.beforeTest()",0
"controller.MainControllerTest.testGetGui()",0
"controller.MainControllerTest.testGetInstance()",0
"controller.MainControllerTest.testMain()",0
"controller.MainControllerTest.testStartAndPause()",0
"model.Coin.Coin(Position)",0
"model.Coin.changeState(State)",5
"model.Coin.equals(Object)",0
"model.Coin.getActiveSeconds()",0
"model.Coin.getScore()",5
"model.Coin.gotEaten()",0
"model.Coin.reduceActiveSeconds(double)",0
"model.Coin.resetActiveSeconds()",0
"model.Coin.toString()",0
"model.CoinContainer.CoinContainer()",3
"model.CoinContainer.add(Coin)",8
"model.CoinContainer.add(Container<Coin>)",5
"model.CoinContainer.contains(Coin)",0
"model.CoinContainer.equals(Object)",0
"model.CoinContainer.get(Position)",7
"model.CoinContainer.get(int)",7
"model.CoinContainer.getAll()",0
"model.CoinContainer.getMax()",5
"model.CoinContainer.iterator()",6
"model.CoinContainer.remove(Coin)",5
"model.CoinContainer.removeAll()",0
"model.CoinContainerTest.setUp()",0
"model.CoinContainerTest.tearDown()",0
"model.CoinContainerTest.testAdd()",0
"model.CoinContainerTest.testEquals()",0
"model.CoinContainerTest.testGetAll()",0
"model.CoinContainerTest.testGetMax()",0
"model.CoinContainerTest.testGetPerIndex()",0
"model.CoinContainerTest.testGetPerPosition()",0
"model.CoinContainerTest.testIterator()",0
"model.CoinContainerTest.testRemove()",0
"model.CoinTest.setUp()",0
"model.CoinTest.testChangeState()",0
"model.CoinTest.testConstructOnSamePosition()",0
"model.CoinTest.testEquals()",0
"model.CoinTest.testGetScore()",0
"model.CoinTest.testGetState()",0
"model.DynamicTarget.equals(Object)",0
"model.DynamicTarget.getHeadingTo()",5
"model.DynamicTarget.getState()",0
"model.DynamicTarget.isHeadingTo(Direction)",8
"model.DynamicTarget.move(Position)",5
"model.DynamicTarget.setHeadingTo(Direction)",5
"model.Game.Game()",3
"model.Game.changeRefreshRate(Level)",6
"model.Game.equals(Object)",7
"model.Game.gameOver()",0
"model.Game.getCoinContainer()",5
"model.Game.getEventHandlerManager()",0
"model.Game.getGhostContainer()",5
"model.Game.getInstance()",5
"model.Game.getLevel()",0
"model.Game.getMap()",5
"model.Game.getPacmanContainer()",5
"model.Game.getPlayerLifes()",0
"model.Game.getPointContainer()",5
"model.Game.getRefreshRate()",5
"model.Game.increasePlayerLifes()",0
"model.Game.initializeInternal()",3
"model.Game.isGameOver()",0
"model.Game.isInitialized()",3
"model.Game.onPacmanGotEaten()",0
"model.Game.pause()",5
"model.Game.reducePLayerLifes()",0
"model.Game.reset()",3
"model.Game.start()",5
"model.GameTest.setUp()",0
"model.GameTest.tearDown()",0
"model.GameTest.testGetCoinContainer()",0
"model.GameTest.testGetEventHandlerManager()",0
"model.GameTest.testGetGhostContainer()",0
"model.GameTest.testGetInstance()",0
"model.GameTest.testGetMap()",0
"model.GameTest.testGetPacmanContainer()",0
"model.GameTest.testGetPointContainer()",0
"model.GameTest.testGetRefreshRate()",0
"model.GameTest.testIsInitialized()",0
"model.GameTest.testPause()",0
"model.GameTest.testReset()",0
"model.GameTest.testStart()",0
"model.Ghost.Ghost(Position,Colour)",0
"model.Ghost.changeState(State)",5
"model.Ghost.eat(Target)",5
"model.Ghost.equals(Object)",0
"model.Ghost.getColour()",5
"model.Ghost.getMovedInLastTurn()",0
"model.Ghost.getName()",5
"model.Ghost.getScore()",0
"model.Ghost.getWaitingSeconds()",0
"model.Ghost.gotEaten()",0
"model.Ghost.reduceWaitingSeconds(double)",0
"model.Ghost.setColour(Colour)",5
"model.Ghost.setMovedInLastTurn(boolean)",0
"model.Ghost.setName(String)",5
"model.Ghost.toString()",0
"model.GhostContainer.GhostContainer()",3
"model.GhostContainer.add(Container<Ghost>)",5
"model.GhostContainer.add(Ghost)",8
"model.GhostContainer.contains(Ghost)",0
"model.GhostContainer.equals(Object)",0
"model.GhostContainer.get(Position)",7
"model.GhostContainer.get(int)",7
"model.GhostContainer.getAll()",6
"model.GhostContainer.getMax()",5
"model.GhostContainer.iterator()",6
"model.GhostContainer.remove(Ghost)",5
"model.GhostContainerTest.setUp()",0
"model.GhostContainerTest.testAdd()",0
"model.GhostContainerTest.testAddObjectAlreadyInList()",0
"model.GhostContainerTest.testEquals()",0
"model.GhostContainerTest.testGetAll()",0
"model.GhostContainerTest.testGetMax()",0
"model.GhostContainerTest.testGetPerIndex()",0
"model.GhostContainerTest.testGetPerPosition()",0
"model.GhostContainerTest.testIterator()",0
"model.GhostContainerTest.testRemove()",0
"model.GhostTest.setUp()",0
"model.GhostTest.tearDown()",0
"model.GhostTest.testChangeState()",0
"model.GhostTest.testEat()",0
"model.GhostTest.testGetColour()",0
"model.GhostTest.testGetScore()",0
"model.GhostTest.testGotEaten()",0
"model.GhostTest.testReduceWaitingSeconds()",0
"model.GhostTest.testSetAndGetName()",0
"model.GhostTest.testSetColour()",0
"model.Helper.quickSort(ArrayList<T>,Comparator<T>)",0
"model.Helper.quickSort(ArrayList<T>,int,int,Comparator<T>)",0
"model.Helper.shuffle(E[])",0
"model.Highscore.Highscore()",0
"model.Highscore.add(Score)",0
"model.Highscore.getInstance()",0
"model.Highscore.getScores()",0
"model.Highscore.writeToFile()",0
"model.Level.Level()",0
"model.Level.equals(Object)",0
"model.Level.getInstance()",0
"model.Level.getLevel()",0
"model.Level.getSecondsPerCoin()",0
"model.Level.nextLevel()",0
"model.Level.reset()",0
"model.LevelTest.setUp()",0
"model.LevelTest.testEquals()",0
"model.LevelTest.testGetInstance()",0
"model.LevelTest.testGetLevel()",0
"model.LevelTest.testGetSecondsPerCoin()",0
"model.LevelTest.testNextLevel()",0
"model.Map.Direction.guessDirection(MapObject)",0
"model.Map.Map()",0
"model.Map.Map(int,int)",0
"model.Map.equals(Object)",0
"model.Map.freeNeighbourFields(Position)",0
"model.Map.getInstance()",0
"model.Map.getPositionByDirectionIfMovableTo(Position,Direction)",0
"model.Map.getPositionContainer()",0
"model.Map.isObjectsPlaced()",0
"model.Map.markAllForRendering()",0
"model.Map.onNextLevel()",0
"model.Map.onPacmanGotEaten()",0
"model.Map.placeDynamicObjects()",0
"model.Map.placeObjects()",0
"model.Map.placeStaticObjects()",0
"model.Map.replaceDynamicObjects()",0
"model.Map.reset()",0
"model.Map.spawnStaticTargets()",0
"model.MapObject.equals(Object)",0
"model.MapObject.getPosition()",0
"model.MapObject.isOnPosition(Position)",0
"model.MapObject.isVisible()",0
"model.MapObject.setPosition(Position)",0
"model.MapObject.setVisible(boolean)",0
"model.MapObjectContainer.MapObjectContainer()",0
"model.MapObjectContainer.add(Container<MapObject>)",5
"model.MapObjectContainer.add(MapObject)",0
"model.MapObjectContainer.contains(MapObject)",0
"model.MapObjectContainer.equals(Object)",0
"model.MapObjectContainer.get(int)",0
"model.MapObjectContainer.getAll()",0
"model.MapObjectContainer.iterator()",0
"model.MapObjectContainer.remove(MapObject)",5
"model.MapObjectContainer.size()",0
"model.MapObjectContainerTest.setUp()",0
"model.MapObjectContainerTest.testAdd()",0
"model.MapObjectContainerTest.testContains()",0
